proto,duration,packets,bytes,pps,bps,avg_pkt
6,48.797,7,2591,0.143,53.097,370.143
6,8.336,171,990990,20.514,118886.121,5795.263
6,5.03,2,352,0.398,69.983,176.0
6,5.179,10,9040,1.931,1745.451,904.0
6,5.039,4,484,0.794,96.052,121.0
6,5.182,7,666,1.351,128.528,95.143
17,27.002,2,142,0.074,5.259,71.0
17,9.024,12,6344,1.33,703.048,528.667
17,27.003,2,140,0.074,5.185,70.0
17,9.048,11,4623,1.216,510.926,420.273
6,4.058,10,8898,2.464,2192.775,889.8
6,4.3,8,834,1.861,193.958,104.25
17,27.001,2,142,0.074,5.259,71.0
17,27.003,2,136,0.074,5.036,68.0
6,9.86,45,4553,4.564,461.743,101.178
6,19.949,2,156,0.1,7.82,78.0
6,45.524,3,223,0.066,4.898,74.333
6,5.008,2,352,0.399,70.282,176.0
6,19.994,2,188,0.1,9.403,94.0
6,45.356,2,161,0.044,3.55,80.5
6,5.012,4,484,0.798,96.577,121.0
6,4.736,8,4921,1.689,1039.138,615.125
17,14.975,3,220,0.2,14.691,73.333
6,4.741,8,834,1.688,175.925,104.25
6,7.515,10,1110,1.331,147.698,111.0
6,24.491,41,2749,1.674,112.245,67.049
6,7.512,10,1120,1.331,149.089,112.0
6,24.491,47,87104,1.919,3556.557,1853.277
17,15.045,3,306,0.199,20.339,102.0
6,5.123,8,6791,1.562,1325.628,848.875
6,10.104,98,660295,9.699,65351.31,6737.704
17,18.366,4,362,0.218,19.71,90.5
6,5.002,2,352,0.4,70.365,176.0
17,18.407,7,3458,0.38,187.861,494.0
17,29.064,5,1796,0.172,61.794,359.2
17,96.161,6,2044,0.062,21.256,340.667
6,5.005,4,484,0.799,96.705,121.0
6,4.958,8,834,1.613,168.202,104.25
6,4.927,7,6685,1.421,1356.741,955.0
6,46.448,509,2579666,10.958,55538.764,5068.106
6,46.397,286,20990,6.164,452.396,73.392
6,10.106,16,2642,1.583,261.43,165.125
6,19.957,2,156,0.1,7.817,78.0
6,47.755,12,4308,0.251,90.21,359.0
6,5.007,2,352,0.399,70.3,176.0
6,45.053,2,132,0.044,2.93,66.0
6,9.098,8,6786,0.879,745.862,848.25
6,45.056,2,132,0.044,2.93,66.0
6,5.009,4,484,0.799,96.625,121.0
6,47.766,12,3609,0.251,75.556,300.75
17,11.516,8,4449,0.695,386.318,556.125
17,11.487,7,5161,0.609,449.307,737.286
6,9.347,9,900,0.963,96.286,100.0
6,6.133,7,4742,1.141,773.157,677.429
17,15.045,2,186,0.133,12.363,93.0
17,14.975,2,145,0.134,9.683,72.5
6,45.056,2,132,0.044,2.93,66.0
6,5.003,3,418,0.6,83.544,139.333
6,9.841,70,657216,7.113,66784.76,9388.8
6,45.052,2,132,0.044,2.93,66.0
6,5.003,2,352,0.4,70.352,176.0
17,22.889,2,182,0.087,7.951,91.0
6,5.743,7,768,1.219,133.738,109.714
6,5.082,10,8932,1.968,1757.512,893.2
6,5.001,2,242,0.4,48.393,121.0
6,24.908,31,2089,1.245,83.867,67.387
6,7.95,4,471,0.503,59.248,117.75
6,10.597,2,1147,0.189,108.24,573.5
6,24.909,31,57565,1.245,2311.058,1856.935
6,10.619,3,839,0.283,79.012,279.667
6,7.956,2,132,0.251,16.591,66.0
17,4.198,38,20554,9.052,4895.946,540.895
17,4.201,34,17792,8.093,4235.24,523.294
6,7.701,70,7731,9.09,1003.895,110.443
6,5.171,7,677,1.354,130.916,96.714
6,21.144,187,1055482,8.844,49917.714,5644.289
6,5.003,2,352,0.4,70.359,176.0
6,19.995,2,188,0.1,9.402,94.0
17,28.81,7,2449,0.243,85.005,349.857
6,21.191,142,11470,6.701,541.263,80.775
6,5.003,3,308,0.6,61.564,102.667
6,19.991,3,222,0.15,11.105,74.0
17,4.832,67,39664,13.865,8207.833,592.0
17,5.404,72,29791,13.323,5512.415,413.764
6,6.908,14,11761,2.027,1702.456,840.071
6,4.571,7,748,1.531,163.64,106.857
17,15.044,2,186,0.133,12.364,93.0
17,14.975,2,145,0.134,9.683,72.5
